"2007 SCOTTISH LOCAL ELECTION RESULTS";;;;;;;;;;;;;;;;;;;
"District";"Ward";"Candidate";"Party";"First prefs";"Elected";;;;;;;;;;;;;;
"Glasgow";"North East";"Grant Thoms ";"SNP";2098;1;;;;;;;;;;;;;;
"Glasgow";"North East";"Gerald Leonard ";"Lab";1475;1;;;;;;;;;;;;;;
"Glasgow";"North East";"Catherine McMaster ";"Lab";1040;1;;;;;;;;;;;;;;
"Glasgow";"North East";"John France ";"C";485;;;;;;;;;;;;;;;
"Glasgow";"North East";"Joanne Reilly ";"Sol";350;;;;;;;;;;;;;;;
"Glasgow";"North East";"John MacPherson ";"LD";228;;;;;;;;;;;;;;;
"Glasgow";"North East";"Stewart MacDonald ";"Grn";186;;;;;;;;;;;;;;;
"Glasgow";"North East";"Andy McPake ";"SSP";129;;;;;;;;;;;;;;;
"Glasgow";"North East";"George Savage ";"Ind";100;;;;;;;;;;;;;;;
"Glasgow";"Partick W.";"Kenny McLean ";"SNP";2811;1;;;;;;;;;;;;;;
"Glasgow";"Partick W.";"Christopher Mason ";"LD";2259;1;;;;;;;;;;;;;;
"Glasgow";"Partick W.";"Aileen Colleran ";"Lab";2099;1;;;;;;;;;;;;;;
"Glasgow";"Partick W.";"Irene Graham ";"Lab";1699;;;;;;;;;;;;;;;
"Glasgow";"Partick W.";"Stuart Clay ";"Grn";1594;1;;;;;;;;;;;;;;
"Glasgow";"Partick W.";"Richard Sullivan ";"C";1404;;;;;;;;;;;;;;;
"Glasgow";"Partick W.";"Jimmy Ross ";"Sol";373;;;;;;;;;;;;;;;
"Glasgow";"Partick W.";"George Atkinson ";"SUP";265;;;;;;;;;;;;;;;
"Glasgow";"Partick W.";"Andrew Gray ";"SSP";240;;;;;;;;;;;;;;;
"Glasgow";"Pollokshields";"Irfan Rabbani ";"Lab";2575;1;;;;;;;;;;;;;;
"Glasgow";"Pollokshields";"Khalil Malik ";"SNP";2057;1;;;;;;;;;;;;;;
"Glasgow";"Pollokshields";"David Meikle ";"C";1435;1;;;;;;;;;;;;;;
"Glasgow";"Pollokshields";"Ian Ruffell ";"Grn";1043;;;;;;;;;;;;;;;
"Glasgow";"Pollokshields";"Isabel Nelson ";"LD";863;;;;;;;;;;;;;;;
"Glasgow";"Pollokshields";"Muhammad Shoaib ";"Ind";592;;;;;;;;;;;;;;;
"Glasgow";"Pollokshields";"Karin Currie ";"Ind";438;;;;;;;;;;;;;;;
"Glasgow";"Pollokshields";"Fatima Uygun ";"Sol";380;;;;;;;;;;;;;;;
"Glasgow";"Pollokshields";"Ali Ashraf ";"SSP";184;;;;;;;;;;;;;;;
"Glasgow";"Shettleston";"John McLaughlin ";"SNP";1896;1;;;;;;;;;;;;;;
"Glasgow";"Shettleston";"Tom McKeown ";"Lab";1861;1;;;;;;;;;;;;;;
"Glasgow";"Shettleston";"George Ryan ";"Lab";1386;1;;;;;;;;;;;;;;
"Glasgow";"Shettleston";"Euan McLeod ";"Lab";1369;1;;;;;;;;;;;;;;
"Glasgow";"Shettleston";"Alex White ";"C";565;;;;;;;;;;;;;;;
"Glasgow";"Shettleston";"Wheatley Harris ";"Sol";458;;;;;;;;;;;;;;;
"Glasgow";"Shettleston";"David Jackson ";"LD";420;;;;;;;;;;;;;;;
"Glasgow";"Shettleston";"Walter Hamilton ";"BNP";268;;;;;;;;;;;;;;;
"Glasgow";"Shettleston";"Catherine Maguire ";"Grn";227;;;;;;;;;;;;;;;
"Glasgow";"Shettleston";"Gordon Kirker ";"SUP";190;;;;;;;;;;;;;;;
"Glasgow";"Shettleston";"Mick Eyre ";"SSP";163;;;;;;;;;;;;;;;
"Glasgow";"Southside C.";"Jahangir Hanif ";"SNP";2392;1;;;;;;;;;;;;;;
"Glasgow";"Southside C.";"Anne Marie Millar ";"Lab";1869;1;;;;;;;;;;;;;;
"Glasgow";"Southside C.";"James Scanlon ";"Lab";1372;1;;;;;;;;;;;;;;
"Glasgow";"Southside C.";"Danny Alderslowe ";"Grn";812;1;;;;;;;;;;;;;;
"Glasgow";"Southside C.";"Hanif Raja ";"Lab";554;;;;;;;;;;;;;;;
"Glasgow";"Southside C.";"Katy McCloskey ";"LD";533;;;;;;;;;;;;;;;
"Glasgow";"Southside C.";"Jill McGowan ";"Sol";456;;;;;;;;;;;;;;;
"Glasgow";"Southside C.";"John Marshall ";"C";423;;;;;;;;;;;;;;;
"Glasgow";"Southside C.";"Rosie Kane ";"SSP";327;;;;;;;;;;;;;;;
"Glasgow";"Springburn";"Allan Stewart ";"Lab";1752;1;;;;;;;;;;;;;;
"Glasgow";"Springburn";"Phil Greene ";"SNP";1300;1;;;;;;;;;;;;;;
"Glasgow";"Springburn";"James Todd ";"Lab";1189;1;;;;;;;;;;;;;;
"Glasgow";"Springburn";"Graham Campbell ";"Sol";339;;;;;;;;;;;;;;;
"Glasgow";"Springburn";"Graeme Dickson ";"C";173;;;;;;;;;;;;;;;
"Glasgow";"Springburn";"John Stuart ";"LD";168;;;;;;;;;;;;;;;
"Glasgow";"Springburn";"Margaret Bean ";"SSP";135;;;;;;;;;;;;;;;
"Glasgow";"Springburn";"Kenny Smith ";"BNP";135;;;;;;;;;;;;;;;
"Glasgow";"Springburn";"Patrick McAleer ";"Grn";134;;;;;;;;;;;;;;;
"Glasgow";"Springburn";"Robert Sawers ";"SUP";85;;;;;;;;;;;;;;;
"Highland";"Aird & Loch Ness";"Margaret Davidson ";"Ind";1215;1;;;;;;;;;;;;;;
"Highland";"Aird & Loch Ness";"Helen Carmichael ";"Ind";1125;1;;;;;;;;;;;;;;
"Highland";"Aird & Loch Ness";"Drew Hendry ";"SNP";892;1;;;;;;;;;;;;;;
"Highland";"Aird & Loch Ness";"Hamish Wood ";"LD";550;1;;;;;;;;;;;;;;
"Highland";"Aird & Loch Ness";"Margaret Chown ";"C";355;;;;;;;;;;;;;;;
"Highland";"Aird & Loch Ness";"John Martin ";"Ind";322;;;;;;;;;;;;;;;
"Highland";"Aird & Loch Ness";"Andrew Mackintosh ";"Lab";292;;;;;;;;;;;;;;;
"Highland";"Aird & Loch Ness";"Alexander Nicol ";"Ind";192;;;;;;;;;;;;;;;
"Highland";"Badenoch & Strathspey";"Stuart Black ";"LD";1720;1;;;;;;;;;;;;;;
"Highland";"Badenoch & Strathspey";"David Fallows ";"SNP";1347;1;;;;;;;;;;;;;;
"Highland";"Badenoch & Strathspey";"Gregor Rimell ";"Ind";736;1;;;;;;;;;;;;;;
"Highland";"Badenoch & Strathspey";"Les Durance ";"C";532;;;;;;;;;;;;;;;
"Highland";"Badenoch & Strathspey";"Jaci Douglas ";"Ind";484;1;;;;;;;;;;;;;;
"Highland";"Badenoch & Strathspey";"Donald Scobbie ";"SSCUP";350;;;;;;;;;;;;;;;
"Highland";"Badenoch & Strathspey";"Angela Cox ";"Ind";347;;;;;;;;;;;;;;;
"Highland";"Black Isle";"Billy Barclay ";"Ind";1233;1;;;;;;;;;;;;;;
"Highland";"Black Isle";"Isobel McCallum ";"Ind";985;1;;;;;;;;;;;;;;
"Highland";"Black Isle";"David Alston ";"LD";973;1;;;;;;;;;;;;;;
"Highland";"Black Isle";"Craig Fraser ";"SNP";558;1;;;;;;;;;;;;;;
"Highland";"Black Isle";"Okain McLennan ";"Ind";433;;;;;;;;;;;;;;;
"Highland";"Black Isle";"Morris Downie ";"C";408;;;;;;;;;;;;;;;
"Highland";"Black Isle";"John Wood ";"Grn";267;;;;;;;;;;;;;;;
"Highland";"Black Isle";"Chris Birt ";"Lab";192;;;;;;;;;;;;;;;
"Highland";"Caol & Mallaig";"Bill Clark ";"Ind";975;1;;;;;;;;;;;;;;
"Highland";"Caol & Mallaig";"Allan Henderson ";"Ind";881;1;;;;;;;;;;;;;;
"Highland";"Caol & Mallaig";"Eddie Hunter ";"Ind";550;1;;;;;;;;;;;;;;
"Highland";"Caol & Mallaig";"Mairi MacLean ";"Lab";473;;;;;;;;;;;;;;;
"Highland";"Caol & Mallaig";"David Ingham ";"SNP";389;;;;;;;;;;;;;;;
"Highland";"Caol & Mallaig";"Sandra Casey ";"Ind";188;;;;;;;;;;;;;;;
"Highland";"Caol & Mallaig";"Chris Carver ";"C";156;;;;;;;;;;;;;;;
"Highland";"Caol & Mallaig";"George MacLeod ";"Ind";151;;;;;;;;;;;;;;;
"Highland";"Caol & Mallaig";"Alstair MacGregor ";"Ind";100;;;;;;;;;;;;;;;
"Highland";"Caol & Mallaig";"Scott Waugh ";"Ind";64;;;;;;;;;;;;;;;
"Highland";"Cromarty Firth";"Carolyn Wilson ";"Ind";1348;1;;;;;;;;;;;;;;
"Highland";"Cromarty Firth";"Maxine Smith ";"SNP";1021;1;;;;;;;;;;;;;;
"Highland";"Cromarty Firth";"Martin Rattray ";"LD";647;1;;;;;;;;;;;;;;
"Highland";"Cromarty Firth";"Michael Finlayson ";"Ind";438;1;;;;;;;;;;;;;;
"Highland";"Cromarty Firth";"John MacInnes ";"Lab";438;;;;;;;;;;;;;;;
"Highland";"Cromarty Firth";"John Connell ";"Ind";307;;;;;;;;;;;;;;;
"Highland";"Cromarty Firth";"Hamish Keir ";"C";141;;;;;;;;;;;;;;;
"Highland";"Cromarty Firth";"Mary MacDonald ";"Ind";104;;;;;;;;;;;;;;;
"Highland";"Cromarty Firth";"Findlay Walker ";"Sol";88;;;;;;;;;;;;;;;
"Highland";"Culloden & Ardersier";"Robert Wynd ";"SNP";1335;1;;;;;;;;;;;;;;
"Highland";"Culloden & Ardersier";"Roddy Balfour ";"Ind";1308;1;;;;;;;;;;;;;;
"Highland";"Culloden & Ardersier";"John Ford ";"Lab";816;1;;;;;;;;;;;;;;
"Highland";"Culloden & Ardersier";"Glynis Sinclair ";"LD";663;1;;;;;;;;;;;;;;
"Highland";"Culloden & Ardersier";"John Ross ";"C";318;;;;;;;;;;;;;;;
"Highland";"Culloden & Ardersier";"Jim Ferguson ";"Ind";213;;;;;;;;;;;;;;;
"Highland";"Dingwall & Seaforth";"Margaret Paterson ";"Ind";1076;1;;;;;;;;;;;;;;
"Highland";"Dingwall & Seaforth";"Angela MacLean ";"LD";1015;1;;;;;;;;;;;;;;
"Highland";"Dingwall & Seaforth";"Peter Cairns ";"SNP";853;1;;;;;;;;;;;;;;
"Highland";"Dingwall & Seaforth";"David Chisholm ";"Ind";639;1;;;;;;;;;;;;;;
"Highland";"Dingwall & Seaforth";"Michael Macmillan ";"Lab";556;;;;;;;;;;;;;;;
"Highland";"Dingwall & Seaforth";"Gerald Lowe ";"C";218;;;;;;;;;;;;;;;
"Highland";"Dingwall & Seaforth";"David Jardine ";"Grn";207;;;;;;;;;;;;;;;
"Highland";"Dingwall & Seaforth";"David Edes ";"Ind";102;;;;;;;;;;;;;;;
"Highland";"East Sutherland & Edderton";"Ian Ross ";"LD";838;1;;;;;;;;;;;;;;
"Highland";"East Sutherland & Edderton";"Deirdre Mackay ";"Lab";703;1;;;;;;;;;;;;;;
"Highland";"East Sutherland & Edderton";"Derek Louden ";"SNP";511;;;;;;;;;;;;;;;
"Highland";"East Sutherland & Edderton";"Jim McGillivray ";"Ind";482;1;;;;;;;;;;;;;;
"Highland";"East Sutherland & Edderton";"Michael Napper ";"C";423;;;;;;;;;;;;;;;
"Highland";"East Sutherland & Edderton";"Jimmy Melville ";"Ind";252;;;;;;;;;;;;;;;
"Highland";"East Sutherland & Edderton";"Evelyn Mackenzie ";"Ind";155;;;;;;;;;;;;;;;
"Highland";"East Sutherland & Edderton";"Gordon Campbell ";"Ind";125;;;;;;;;;;;;;;;
"Highland";"East Sutherland & Edderton";"Gordon Clunie ";"Ind";114;;;;;;;;;;;;;;;
"Highland";"East Sutherland & Edderton";"Richard Easson ";"Ind";40;;;;;;;;;;;;;;;
"Highland";"East Sutherland & Edderton";"Frank Ward ";"Sol";27;;;;;;;;;;;;;;;
"Highland";"Eilean a' Cheò";"Drew Millar ";"LD";960;1;;;;;;;;;;;;;;
"Highland";"Eilean a' Cheò";"Hamish Fraser ";"Ind";795;1;;;;;;;;;;;;;;
"Highland";"Eilean a' Cheò";"John Laing ";"Ind";734;1;;;;;;;;;;;;;;
"Highland";"Eilean a' Cheò";"Ian Renwick ";"SNP";669;1;;;;;;;;;;;;;;
"Highland";"Eilean a' Cheò";"John Murray ";"Ind";498;;;;;;;;;;;;;;;
"Highland";"Eilean a' Cheò";"Vicki Samuels ";"Lab";351;;;;;;;;;;;;;;;
"Highland";"Eilean a' Cheò";"Iain MacDonald ";"Ind";338;;;;;;;;;;;;;;;
"Highland";"Eilean a' Cheò";"John Hodgson ";"C";178;;;;;;;;;;;;;;;
"Highland";"Fort William & Ardnamurchan";"Michael Foxley ";"LD";1059;1;;;;;;;;;;;;;;
"Highland";"Fort William & Ardnamurchan";"Donald Cameron ";"Ind";939;1;;;;;;;;;;;;;;
"Highland";"Fort William & Ardnamurchan";"Bren Gormley ";"SNP";778;1;;;;;;;;;;;;;;
"Highland";"Fort William & Ardnamurchan";"Brian Murphy ";"Lab";501;1;;;;;;;;;;;;;;
"Highland";"Fort William & Ardnamurchan";"Andrew Baxter ";"C";372;;;;;;;;;;;;;;;
"Highland";"Fort William & Ardnamurchan";"Thomas MacLennan ";"Ind";322;;;;;;;;;;;;;;;
"Highland";"Fort William & Ardnamurchan";"Darren Woods ";"Ind";317;;;;;;;;;;;;;;;
"Highland";"Fort William & Ardnamurchan";"Patricia Jordon ";"Ind";271;;;;;;;;;;;;;;;
"Highland";"Fort William & Ardnamurchan";"Drew McFarlane-Slack ";"Ind";241;;;;;;;;;;;;;;;
"Highland";"Fort William & Ardnamurchan";"Ian Thornber ";"Ind";195;;;;;;;;;;;;;;;
"Highland";"Fort William & Ardnamurchan";"Neil Clark ";"Ind";194;;;;;;;;;;;;;;;
"Highland";"Inverness C.";"Donnie Kerr ";"SNP";1019;1;;;;;;;;;;;;;;
"Highland";"Inverness C.";"Peter Corbett ";"Ind";776;1;;;;;;;;;;;;;;
"Highland";"Inverness C.";"Janet Campbell ";"LD";729;1;;;;;;;;;;;;;;
"Highland";"Inverness C.";"Elizabeth McAllister ";"Lab";720;1;;;;;;;;;;;;;;
"Highland";"Inverness C.";"William Smith ";"Ind";575;;;;;;;;;;;;;;;
"Highland";"Inverness C.";"David Bonsor ";"C";268;;;;;;;;;;;;;;;
"Highland";"Inverness C.";"Ivor Bisset ";"Ind";252;;;;;;;;;;;;;;;
"Highland";"Inverness C.";"Tejpartap Manda ";"Lab";237;;;;;;;;;;;;;;;
"Highland";"Inverness C.";"George MacDonald ";"Sol";88;;;;;;;;;;;;;;;
"Highland";"Inverness Millburn";"Jimmy Gray ";"Lab";1123;1;;;;;;;;;;;;;;
"Highland";"Inverness Millburn";"Ian Brown ";"SNP";1005;1;;;;;;;;;;;;;;
"Highland";"Inverness Millburn";"Kenneth MacLeod ";"LD";510;1;;;;;;;;;;;;;;
"Highland";"Inverness Millburn";"Etta Mackay ";"Ind";430;;;;;;;;;;;;;;;
"Highland";"Inverness Millburn";"Donald MacKenzie ";"C";356;;;;;;;;;;;;;;;
"Highland";"Inverness Millburn";"Willie Fraser ";"Ind";178;;;;;;;;;;;;;;;
"Highland";"Inverness Ness-side";"David Henderson ";"LD";1127;1;;;;;;;;;;;;;;
"Highland";"Inverness Ness-side";"John Finnie ";"SNP";1016;1;;;;;;;;;;;;;;
"Highland";"Inverness Ness-side";"Norman Donald ";"Ind";750;1;;;;;;;;;;;;;;
"Highland";"Inverness Ness-side";"Fraser Parr ";"Lab";688;1;;;;;;;;;;;;;;
"Highland";"Inverness Ness-side";"Angus Dick ";"LD";468;;;;;;;;;;;;;;;
"Highland";"Inverness Ness-side";"Margaret MacDonald ";"C";361;;;;;;;;;;;;;;;
"Highland";"Inverness Ness-side";"Thomas Lamont ";"Ind";232;;;;;;;;;;;;;;;
"Highland";"Inverness Ness-side";"Steve Rodger ";"Ind";226;;;;;;;;;;;;;;;
"Highland";"Inverness Ness-side";"Jean Slater ";"Ind";82;;;;;;;;;;;;;;;
"Highland";"Inverness Ness-side";"Steve Arnott ";"Sol";70;;;;;;;;;;;;;;;
"Highland";"Inverness S.";"Roy Pedersen ";"SNP";1058;1;;;;;;;;;;;;;;
"Highland";"Inverness S.";"Thomas Prag ";"LD";902;1;;;;;;;;;;;;;;
"Highland";"Inverness S.";"John Holden ";"Lab";671;1;;;;;;;;;;;;;;
"Highland";"Inverness S.";"Jim Crawford ";"Ind";524;1;;;;;;;;;;;;;;
"Highland";"Inverness S.";"Donald MacDonald ";"C";413;;;;;;;;;;;;;;;
"Highland";"Inverness S.";"Barrie Haycock ";"Ind";353;;;;;;;;;;;;;;;
"Highland";"Inverness W.";"Pauline Munro ";"SNP";965;1;;;;;;;;;;;;;;
"Highland";"Inverness W.";"Alex Graham ";"LD";840;1;;;;;;;;;;;;;;
"Highland";"Inverness W.";"Jimmy MacDonald ";"Ind";778;1;;;;;;;;;;;;;;
"Highland";"Inverness W.";"Caroline Parr ";"Lab";536;;;;;;;;;;;;;;;
"Highland";"Inverness W.";"Mary Fraser ";"C";230;;;;;;;;;;;;;;;
"Highland";"Landward Caithness";"David Bremner ";"SNP";871;1;;;;;;;;;;;;;;
"Highland";"Landward Caithness";"Willie MacKay ";"Ind";845;1;;;;;;;;;;;;;;
"Highland";"Landward Caithness";"David Flear ";"LD";805;1;;;;;;;;;;;;;;
"Highland";"Landward Caithness";"Robert Coghill ";"Ind";657;1;;;;;;;;;;;;;;
"Highland";"Landward Caithness";"Bill Mowat ";"Lab";532;;;;;;;;;;;;;;;
"Highland";"Landward Caithness";"Colin Sutherland ";"C";531;;;;;;;;;;;;;;;
"Highland";"Landward Caithness";"Alastair MacDonald ";"LD";349;;;;;;;;;;;;;;;
"Highland";"Landward Caithness";"Duncan Winfield ";"Ind";41;;;;;;;;;;;;;;;
"Highland";"Nairn";"Liz MacDonald ";"SNP";1576;1;;;;;;;;;;;;;;
"Highland";"Nairn";"Sandy Park ";"Ind";855;1;;;;;;;;;;;;;;
"Highland";"Nairn";"Laurie Fraser ";"Ind";669;1;;;;;;;;;;;;;;
"Highland";"Nairn";"Graham Marsden ";"LD";535;1;;;;;;;;;;;;;;
"Highland";"Nairn";"Jim Lennon ";"Ind";476;;;;;;;;;;;;;;;
"Highland";"Nairn";"Ron Stevenson ";"Lab";402;;;;;;;;;;;;;;;
"Highland";"Nairn";"Bob Ross ";"C";356;;;;;;;;;;;;;;;
"Highland";"Nairn";"David Fraser ";"Ind";273;;;;;;;;;;;;;;;
"Highland";"North, West & Central Sutherland";"George Farlow ";"SNP";586;1;;;;;;;;;;;;;;
"Highland";"North, West & Central Sutherland";"Robbie Rowantree ";"LD";410;1;;;;;;;;;;;;;;
"Highland";"North, West & Central Sutherland";"Russell Taylor ";"SSCUP";314;;;;;;;;;;;;;;;
"Highland";"North, West & Central Sutherland";"Linda Munro ";"Ind";303;1;;;;;;;;;;;;;;
"Highland";"North, West & Central Sutherland";"David Forbes ";"Ind";297;;;;;;;;;;;;;;;
"Highland";"North, West & Central Sutherland";"William Johnston ";"Ind";282;;;;;;;;;;;;;;;
"Highland";"North, West & Central Sutherland";"Margaret Payne ";"C";216;;;;;;;;;;;;;;;
"Highland";"North, West & Central Sutherland";"Dave Andrews ";"Lab";184;;;;;;;;;;;;;;;
"Highland";"North, West & Central Sutherland";"Ailsa Spindler ";"Grn";168;;;;;;;;;;;;;;;
"Highland";"North, West & Central Sutherland";"Kirstie Dawson ";"Ind";99;;;;;;;;;;;;;;;
"Highland";"North, West & Central Sutherland";"Michael Otter ";"Ind";80;;;;;;;;;;;;;;;
"Highland";"Tain & Easter Ross";"Alasdair Rhind ";"Ind";1406;1;;;;;;;;;;;;;;
"Highland";"Tain & Easter Ross";"Richard Durham ";"LD";627;1;;;;;;;;;;;;;;
"Highland";"Tain & Easter Ross";"Jim McCreath ";"SNP";465;;;;;;;;;;;;;;;
"Highland";"Tain & Easter Ross";"Alan Torrance ";"Ind";436;1;;;;;;;;;;;;;;
"Highland";"Tain & Easter Ross";"Murray MacLeod ";"Ind";294;;;;;;;;;;;;;;;
"Highland";"Tain & Easter Ross";"Michael Herd ";"Ind";204;;;;;;;;;;;;;;;
"Highland";"Tain & Easter Ross";"Sunny Moodie ";"Lab";148;;;;;;;;;;;;;;;
"Highland";"Tain & Easter Ross";"David Rutherford ";"C";124;;;;;;;;;;;;;;;
"Highland";"Tain & Easter Ross";"John Boocock ";"Ind";116;;;;;;;;;;;;;;;
"Highland";"Tain & Easter Ross";"Donnie Fraser ";"SSP";59;;;;;;;;;;;;;;;
"Highland";"Thurso";"Donald Mackay ";"Ind";1001;1;;;;;;;;;;;;;;
"Highland";"Thurso";"John Rosie ";"Ind";704;1;;;;;;;;;;;;;;
"Highland";"Thurso";"Marion Thurso ";"LD";541;1;;;;;;;;;;;;;;
"Highland";"Thurso";"Donald Mackintosh ";"SNP";433;;;;;;;;;;;;;;;
"Highland";"Thurso";"Roger Saxon ";"Lab";408;;;;;;;;;;;;;;;
"Highland";"Thurso";"Ian Grant ";"Ind";125;;;;;;;;;;;;;;;
"Highland";"Thurso";"Alexander Bain ";"C";112;;;;;;;;;;;;;;;
"Highland";"Wester Ross, Strathpeffer & Lochalsh";"Jean Urquhart ";"SNP";1486;1;;;;;;;;;;;;;;
"Highland";"Wester Ross, Strathpeffer & Lochalsh";"Isabelle Campbell ";"LD";1242;1;;;;;;;;;;;;;;
"Highland";"Wester Ross, Strathpeffer & Lochalsh";"Richard Greene ";"Ind";792;1;;;;;;;;;;;;;;
"Highland";"Wester Ross, Strathpeffer & Lochalsh";"Audrey Sinclair ";"Ind";608;1;;;;;;;;;;;;;;
"Highland";"Wester Ross, Strathpeffer & Lochalsh";"John Scott ";"C";451;;;;;;;;;;;;;;;
"Highland";"Wester Ross, Strathpeffer & Lochalsh";"Christine Conniff ";"Lab";354;;;;;;;;;;;;;;;
"Highland";"Wester Ross, Strathpeffer & Lochalsh";"Marie Tait ";"Ind";328;;;;;;;;;;;;;;;
"Highland";"Wester Ross, Strathpeffer & Lochalsh";"Donald Macdonald ";"Ind";232;;;;;;;;;;;;;;;
"Highland";"Wester Ross, Strathpeffer & Lochalsh";"Alastair Armitstead ";"Ind";199;;;;;;;;;;;;;;;
"Highland";"Wick";"Bill Fernie ";"Ind";793;1;;;;;;;;;;;;;;
"Highland";"Wick";"Katrina MacNab ";"Ind";451;1;;;;;;;;;;;;;;
"Highland";"Wick";"Niall Smith ";"SNP";443;;;;;;;;;;;;;;;
"Highland";"Wick";"Graeme Smith ";"LD";407;1;;;;;;;;;;;;;;
"Highland";"Wick";"Jim Oag ";"Lab";366;;;;;;;;;;;;;;;
"Highland";"Wick";"Heather Miller ";"Ind";98;;;;;;;;;;;;;;;
"Highland";"Wick";"Jack Brooker ";"C";46;;;;;;;;;;;;;;;
"Highland";"Wick";"Laurel Bush ";"Ind";17;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde E.";"Stephen McCabe ";"Lab";2122;1;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde E.";"Jim MacLeod ";"SNP";1401;1;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde E.";"David Wilson ";"C";1369;1;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde E.";"Tom Fyfe ";"LD";805;1;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde E.";"Tom Monteith ";"Lab";522;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde E.";"Iain Tucker ";"LD";404;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde E.";"John Logan ";"Ind";259;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde E.";"Denise McLaughlan ";"Sol";179;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde E.C.";"Michael McCormick ";"Lab";2065;1;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde E.C.";"Jim Grieve ";"SNP";1132;1;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde E.C.";"Robert Moran ";"Lab";551;1;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde E.C.";"Jean Stewart ";"LD";425;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde E.C.";"Graeme Brooks ";"C";234;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde E.C.";"Robert Kyle ";"Ind";188;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde E.C.";"Tommy Murray ";"Ind";95;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde E.C.";"Don Shearer ";"Ind";57;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde N.";"Jim Clocherty ";"Lab";1812;1;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde N.";"Chris Osborne ";"SNP";1388;1;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde N.";"Alan Blair ";"LD";1150;1;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde N.";"Charles McCallum ";"Lab";571;1;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde N.";"Frank McGlinn ";"Ind";468;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde N.";"Campbell Snoddy ";"LD";439;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde N.";"Margaret Miller ";"C";431;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde N.";"Robbie Henderson ";"LD";342;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde N.";"Kit Shields ";"Ind";114;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde S.";"Iain McKenzie ";"Lab";1102;1;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde S.";"Joseph McIlwee ";"Lab";1000;1;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde S.";"Keith Brooks ";"SNP";994;1;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde S.";"Eddie Gallacher ";"LD";407;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde S.";"Stuart Cameron ";"Ind";273;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde S.";"Jim Strachan ";"C";174;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde S.";"Robert Burns ";"LD";155;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde S.";"Davy Landels ";"SSP";96;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde S.W.";"Ken Ferguson ";"SNP";964;1;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde S.W.";"Innes Nelson ";"Ind";741;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde S.W.";"Gerry Dorrian ";"Lab";723;1;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde S.W.";"Ciano Rebecchi ";"LD";544;1;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde S.W.";"Alex McGhee ";"Lab";514;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde S.W.";"Eric Forbes ";"LD";449;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde S.W.";"Harry Osborn ";"C";179;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde S.W.";"Peter Campbell ";"UKIP";43;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde W.";"Ronald Ahlfeld ";"Ind";1256;1;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde W.";"Terry Loughran ";"Lab";1212;1;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde W.";"John Crowther ";"SNP";1028;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde W.";"George White ";"LD";828;1;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde W.";"Kenny Wilson ";"LD";577;;;;;;;;;;;;;;;
"Inverclyde";"Inverclyde W.";"Robert Hunter ";"C";391;;;;;;;;;;;;;;;
"Midlothian";"Bonnyrigg";"Bob Constable ";"SNP";1905;1;;;;;;;;;;;;;;
